2100	0.311563	0.336801	0.243216	0.222363	0.624346	0.796171	0.682893	-1.62596	10.3639	10.3512	14.9875	-0.0178808	-0.0143866	14.9754	-0.304067	-0.30407	-0.309994	-0.309993	0.0219293	0.021061	0.0207071	0.0216798	
2200	0.309673	0.334934	0.241326	0.220448	0.615964	0.800789	0.68699	-1.63398	10.364	10.351	14.9874	-0.0179768	-0.0145675	14.9752	-0.304	-0.304	-0.31	-0.31	0.0219805	0.021108	0.0207492	0.0217289	
2300	0.307637	0.332966	0.239133	0.218199	0.61415	0.80343	0.689375	-1.6345	10.3641	10.3507	14.9873	-0.0181013	-0.0147609	14.9749	-0.304	-0.304	-0.31	-0.31	0.0220267	0.0211507	0.020787	0.0217731	
2400	0.311262	0.336467	0.243058	0.222232	0.617892	0.803279	0.68915	-1.63235	10.3645	10.3507	14.9872	-0.0183548	-0.0149615	14.9745	-0.304003	-0.304004	-0.310001	-0.31	0.0220666	0.0211903	0.0208189	0.0218086	
2500	0.30981	0.335065	0.24149	0.220624	0.617162	0.805015	0.690764	-1.63237	10.3645	10.3503	14.987	-0.0184166	-0.015132	14.9744	-0.304	-0.304	-0.31	-0.31	0.022101	0.0212222	0.0208466	0.0218415	
2600	0.308448	0.333749	0.24002	0.219115	0.615985	0.807054	0.69263	-1.63281	10.3646	10.35	14.9869	-0.0184975	-0.0153047	14.9742	-0.304	-0.304	-0.31	-0.31	0.022132	0.0212512	0.0208713	0.021871	
2700	0.307227	0.332571	0.238702	0.217762	0.614923	0.809013	0.694412	-1.63324	10.3647	10.3498	14.9868	-0.0185919	-0.0154769	14.9741	-0.304	-0.304	-0.31	-0.31	0.02216	0.0212776	0.0208934	0.0218975	
2800	0.30901	0.334311	0.240765	0.219856	0.601979	0.810354	0.695515	-1.64281	10.3651	10.35	14.9867	-0.0187851	-0.0155365	14.9738	-0.303999	-0.303999	-0.31	-0.31	0.0221835	0.0213023	0.0209138	0.0219183	
2900	0.310755	0.335973	0.242515	0.221688	0.618543	0.808308	0.693461	-1.63094	10.3651	10.3497	14.9868	-0.0189483	-0.0155251	14.9736	-0.304	-0.304	-0.31	-0.31	0.022202	0.0213232	0.0209316	0.0219356	
3000	0.309991	0.335236	0.241687	0.220836	0.617974	0.8098	0.694879	-1.6313	10.365	10.3493	14.9867	-0.0189688	-0.0156843	14.9736	-0.304	-0.304	-0.31	-0.31	0.0222197	0.0213397	0.0209446	0.0219522	
3100	0.309304	0.334575	0.240943	0.220069	0.617462	0.811232	0.696224	-1.63163	10.3651	10.3491	14.9866	-0.0190031	-0.0158348	14.9735	-0.304	-0.304	-0.31	-0.31	0.0222356	0.0213547	0.0209563	0.0219672	
3200	0.308688	0.333981	0.240274	0.219381	0.616998	0.812603	0.697498	-1.63194	10.3652	10.3489	14.9865	-0.0190476	-0.0159768	14.9735	-0.304	-0.304	-0.31	-0.31	0.0222499	0.0213684	0.0209666	0.0219806	
3300	0.308136	0.333449	0.239673	0.218764	0.616579	0.813916	0.698706	-1.63223	10.3653	10.3487	14.9864	-0.0190993	-0.0161101	14.9735	-0.304	-0.304	-0.31	-0.31	0.0222627	0.0213808	0.0209758	0.0219926	
3400	0.30764	0.332971	0.239134	0.218209	0.6162	0.815171	0.699851	-1.63251	10.3655	10.3485	14.9863	-0.0191559	-0.0162352	14.9734	-0.304	-0.304	-0.31	-0.31	0.0222743	0.0213922	0.020984	0.0220034	
3500	0.307195	0.332542	0.238649	0.217711	0.615856	0.81637	0.700935	-1.63277	10.3656	10.3484	14.9862	-0.0192155	-0.0163522	14.9734	-0.304	-0.304	-0.31	-0.31	0.0222847	0.0214025	0.0209913	0.0220131	
3600	0.306796	0.332157	0.238213	0.217263	0.615546	0.817513	0.701963	-1.63301	10.3658	10.3483	14.9861	-0.0192768	-0.0164615	14.9733	-0.304	-0.304	-0.31	-0.31	0.0222941	0.0214119	0.0209977	0.0220217	
3700	0.306438	0.331811	0.237821	0.21686	0.615265	0.818603	0.702936	-1.63325	10.3659	10.3481	14.9861	-0.0193387	-0.0165635	14.9733	-0.304	-0.304	-0.31	-0.31	0.0223026	0.0214204	0.0210035	0.0220295	
3800	0.306116	0.331501	0.237468	0.216498	0.615011	0.819641	0.703858	-1.63347	10.366	10.348	14.986	-0.0194003	-0.0166585	14.9732	-0.304	-0.304	-0.31	-0.31	0.0223102	0.0214282	0.0210085	0.0220365	
3900	0.308713	0.334028	0.240387	0.21947	0.603093	0.819782	0.703862	-1.64291	10.3665	10.3482	14.9861	-0.0195398	-0.0166429	14.973	-0.304	-0.304	-0.31	-0.31	0.0223148	0.0214359	0.0210137	0.0220406	
4000	0.310444	0.335724	0.24099	0.220086	0.634351	0.807391	0.691673	-1.63919	10.3663	10.3483	14.9862	-0.0196281	-0.0163881	14.9728	-0.304	-0.304	-0.31	-0.31	0.0223167	0.0214411	0.0210202	0.0220415	
4100	0.310305	0.335589	0.240883	0.219982	0.633439	0.806266	0.6906	-1.63888	10.3658	10.3485	14.9862	-0.0195414	-0.0161249	14.9727	-0.304	-0.304	-0.31	-0.31	0.022319	0.021443	0.0210266	0.0220425	
4200	0.310179	0.335466	0.240787	0.219889	0.6326	0.805203	0.689597	-1.6386	10.3653	10.3487	14.9863	-0.0194701	-0.015896	14.9725	-0.304	-0.304	-0.31	-0.31	0.022321	0.0214447	0.0210325	0.0220434	
